id,link,date,history,findings,diagnosis,images
1,"['https://pubs-rsna-org-ssl.access.hanyang.ac.kr:8443/doi/10.1148/radiology.207.1.58', 'https://pubs-rsna-org-ssl.access.hanyang.ac.kr:8443/doi/10.1148/radiology.208.2.9680556']","['1998-04-01', '1998-08-01']",,,Recurrent pyogenic cholangitis.,"[[], []]"
2,"['https://pubs-rsna-org-ssl.access.hanyang.ac.kr:8443/doi/10.1148/radiology.207.2.389', 'https://pubs-rsna-org-ssl.access.hanyang.ac.kr:8443/doi/10.1148/radiology.208.3.9722837']","['1998-05-01', '1998-09-01']",,,Embryonal rhabdomyosarcoma of the biliary tree.,"[[], []]"
3,"['https://pubs-rsna-org-ssl.access.hanyang.ac.kr:8443/doi/10.1148/radiology.207.3.813', 'https://pubs-rsna-org-ssl.access.hanyang.ac.kr:8443/doi/10.1148/radiology.209.1.9769814']","['1998-06-01', '1998-10-01']",,,Renal tuberculosis.,"[[], []]"
4,"['https://pubs-rsna-org-ssl.access.hanyang.ac.kr:8443/doi/10.1148/radiology.208.1.63', 'https://pubs-rsna-org-ssl.access.hanyang.ac.kr:8443/doi/10.1148/radiology.209.2.9807583']","['1998-07-01', '1998-11-01']",,,intraosseous fat necrosis associated with pancreatitis.,"[[], []]"
5,"['https://pubs-rsna-org-ssl.access.hanyang.ac.kr:8443/doi/10.1148/radiology.208.2.339', 'https://pubs-rsna-org-ssl.access.hanyang.ac.kr:8443/doi/10.1148/radiology.209.3.9844670']","['1998-08-01', '1998-12-01']",,,esophageal mucocele after surgical bypass of the esophagus.,"[[], []]"
6,"['https://pubs-rsna-org-ssl.access.hanyang.ac.kr:8443/doi/10.1148/radiology.208.3.619', 'https://pubs-rsna-org-ssl.access.hanyang.ac.kr:8443/doi/10.1148/radiology.210.1.r99ja33145']","['1998-09-01', '1999-01-01']",,"Abdominopelvic CT was performed after oral and intravenous administration of contrast material (,,,Fig 1). The CT scan showed a round and oval paracolic mass lateral to the descending colon, extending from the splenic flexure to the junction of the descending and sigmoid colon. The mass measured −50 HU, fat attenuation, but this attenuation number was higher than that of normal fat. There was a 2–3-mm-thick enhancing rim that separated the mass from surrounding fat stranding. Thickening of the left lateroconal fascia was evident. The descending colon was medially displaced but intrinsically normal. A diagnosis was made, and the patient was discharged from our emergency department.",Primary Epiploic Appendagitis,"[[], [{'img': 'https://pubs.rsna.org/cms/10.1148/radiology.210.1.r99ja33145/asset/images/large/r99ja33g1a.jpeg', 'caption': 'Figure 1a. (a, b) Initial abdominopelvic CT scans obtained after oral and intravenous administration of contrast material. An inflamed epiploic appendage (E) is noted lateral to the left kidney (K), distal transverse colon (T), and proximal descending colon (D) at the level of (a) the left renal hilum and (b) the inferior pole of the left kidney.'}, {'img': 'https://pubs.rsna.org/cms/10.1148/radiology.210.1.r99ja33145/asset/images/large/r99ja33g1b.jpeg', 'caption': 'Figure 1b. (a, b) Initial abdominopelvic CT scans obtained after oral and intravenous administration of contrast material. An inflamed epiploic appendage (E) is noted lateral to the left kidney (K), distal transverse colon (T), and proximal descending colon (D) at the level of (a) the left renal hilum and (b) the inferior pole of the left kidney.'}, {'img': 'https://pubs.rsna.org/cms/10.1148/radiology.210.1.r99ja33145/asset/images/large/r99ja33g2a.jpeg', 'caption': 'Figure 2a. (a, b) Five-week follow-up abdominopelvic CT scans obtained after administration of colonic contrast material. Lateral to the descending colon (D), the epiploic appendage (arrowheads) has shrunk in size and increased in attenuation, while the periappendageal inflammatory changes have mostly cleared.'}, {'img': 'https://pubs.rsna.org/cms/10.1148/radiology.210.1.r99ja33145/asset/images/large/r99ja33g2b.jpeg', 'caption': 'Figure 2b. (a, b) Five-week follow-up abdominopelvic CT scans obtained after administration of colonic contrast material. Lateral to the descending colon (D), the epiploic appendage (arrowheads) has shrunk in size and increased in attenuation, while the periappendageal inflammatory changes have mostly cleared.'}]]"
7,"['https://pubs-rsna-org-ssl.access.hanyang.ac.kr:8443/doi/10.1148/radiology.209.1.67', 'https://pubs-rsna-org-ssl.access.hanyang.ac.kr:8443/doi/10.1148/radiology.210.2.r99fe50419']","['1998-10-01', '1999-02-01']",,"US scans (,,,,Fig 1) of the enlarged fetal head demonstrated a discontinuous falx midline echo and no identifiable cortical mantel. Normal hyperechoic choroid plexuses were seen posterior to normal thalami, and a small amount of occipital cortex remained, posterior to both. The midbrain was preserved and an image of the posterior fossa demonstrated an intact cerebellum and a normal cisterna magna.",Hydranencephaly,"[[], [{'img': 'https://pubs.rsna.org/cms/10.1148/radiology.210.2.r99fe50419/asset/images/large/r99fe50g1a.jpeg', 'caption': 'Figure 1a. US images of the fetal head at 36 weeks gestation. (a) Transaxial image near the vertex demonstrates a discontinuous falx midline echo (curved arrow). There is no identifiable cortical mantel. (b) Transaxial image at the level of the normal thalami (T) again shows the disrupted falx midline echo (curved arrow). Normal hyperechoic choroid plexuses (straight arrows) are seen posterior to the thalami, and a small amount of occipital cortex remains, posterior to both. There again is no demonstrable cortical mantle (the echoes seen are artifactual). (c) Transaxial image slanted posteriorly to depict the posterior fossa demonstrates the midbrain (M) and the disrupted falx echo (curved arrow). The triangular posterior fossa with an intact cerebellum (straight arrows) and a normal cisterna magna (∗) are seen.'}, {'img': 'https://pubs.rsna.org/cms/10.1148/radiology.210.2.r99fe50419/asset/images/large/r99fe50g1b.jpeg', 'caption': 'Figure 1b. US images of the fetal head at 36 weeks gestation. (a) Transaxial image near the vertex demonstrates a discontinuous falx midline echo (curved arrow). There is no identifiable cortical mantel. (b) Transaxial image at the level of the normal thalami (T) again shows the disrupted falx midline echo (curved arrow). Normal hyperechoic choroid plexuses (straight arrows) are seen posterior to the thalami, and a small amount of occipital cortex remains, posterior to both. There again is no demonstrable cortical mantle (the echoes seen are artifactual). (c) Transaxial image slanted posteriorly to depict the posterior fossa demonstrates the midbrain (M) and the disrupted falx echo (curved arrow). The triangular posterior fossa with an intact cerebellum (straight arrows) and a normal cisterna magna (∗) are seen.'}, {'img': 'https://pubs.rsna.org/cms/10.1148/radiology.210.2.r99fe50419/asset/images/large/r99fe50g1c.jpeg', 'caption': 'Figure 1c. US images of the fetal head at 36 weeks gestation. (a) Transaxial image near the vertex demonstrates a discontinuous falx midline echo (curved arrow). There is no identifiable cortical mantel. (b) Transaxial image at the level of the normal thalami (T) again shows the disrupted falx midline echo (curved arrow). Normal hyperechoic choroid plexuses (straight arrows) are seen posterior to the thalami, and a small amount of occipital cortex remains, posterior to both. There again is no demonstrable cortical mantle (the echoes seen are artifactual). (c) Transaxial image slanted posteriorly to depict the posterior fossa demonstrates the midbrain (M) and the disrupted falx echo (curved arrow). The triangular posterior fossa with an intact cerebellum (straight arrows) and a normal cisterna magna (∗) are seen.'}, {'img': 'https://pubs.rsna.org/cms/10.1148/radiology.210.2.r99fe50419/asset/images/large/r99fe50g2a.jpeg', 'caption': ""Figure 2a. CT scan of the newborn's head, without use of intravenous contrast material. (a) Transaxial view near the vertex shows a disrupted falx (curved arrow). No normal cortical mantle remains. (b) Transaxial view at the level of the normal thalami (T) shows normal choroid plexuses (solid arrows) posteriorly. Some occipital cortex (open arrows) remains. (c) Transaxial view through the base shows a normal posterior fossa, including cerebellum.""}, {'img': 'https://pubs.rsna.org/cms/10.1148/radiology.210.2.r99fe50419/asset/images/large/r99fe50g2b.jpeg', 'caption': ""Figure 2b. CT scan of the newborn's head, without use of intravenous contrast material. (a) Transaxial view near the vertex shows a disrupted falx (curved arrow). No normal cortical mantle remains. (b) Transaxial view at the level of the normal thalami (T) shows normal choroid plexuses (solid arrows) posteriorly. Some occipital cortex (open arrows) remains. (c) Transaxial view through the base shows a normal posterior fossa, including cerebellum.""}, {'img': 'https://pubs.rsna.org/cms/10.1148/radiology.210.2.r99fe50419/asset/images/large/r99fe50g2c.jpeg', 'caption': ""Figure 2c. CT scan of the newborn's head, without use of intravenous contrast material. (a) Transaxial view near the vertex shows a disrupted falx (curved arrow). No normal cortical mantle remains. (b) Transaxial view at the level of the normal thalami (T) shows normal choroid plexuses (solid arrows) posteriorly. Some occipital cortex (open arrows) remains. (c) Transaxial view through the base shows a normal posterior fossa, including cerebellum.""}, {'img': 'https://pubs.rsna.org/cms/10.1148/radiology.210.2.r99fe50419/asset/images/large/r99fe50g3x.jpeg', 'caption': 'Figure 3. Moderate to severe hydrocephalus secondary to aqueductal stenosis. A transaxial US scan of a fetus at 30 weeks gestation demonstrates an enlarged fetal head with thinned but present temporoparietal cortical mantle (arrows) along the posterolateral aspect of the calvaria. The third ventricle (∗) is also dilated between the thalami. Although the temporoparietal cortical mantle is also present anteriorly, it cannot be appreciated because of reverberation artifacts.'}, {'img': 'https://pubs.rsna.org/cms/10.1148/radiology.210.2.r99fe50419/asset/images/large/r99fe50g4x.jpeg', 'caption': 'Figure 4. Alobar holoprosencephaly in a fetus at 22 weeks gestation. Coronal US image of a small fetal head shows fused thalami (T). A monoventricle (V) is identified without a normal falx echo. L = left, R = right.'}]]"
8,"['https://pubs-rsna-org-ssl.access.hanyang.ac.kr:8443/doi/10.1148/radiology.209.2.519', 'https://pubs-rsna-org-ssl.access.hanyang.ac.kr:8443/doi/10.1148/radiology.210.3.r99mr37795']","['1998-11-01', '1999-03-01']",,"Figure 1 is a photographic magnification of the subareolar region on a standard left craniocaudal mammogram. It shows a fatty breast with prominent subareolar tubular structures that represent dilated ducts. The area indicated by the arrow suggests an abrupt cutoff of the duct approximately 3 cm behind the nipple. While the findings may represent simple duct ectasia, they could also represent an intraluminal mass.",Solitary Intraductal Papilloma,"[[], [{'img': 'https://pubs.rsna.org/cms/10.1148/radiology.210.3.r99mr37795/asset/images/large/r99mr37g1x.jpeg', 'caption': 'Figure 1. Photographic magnification of the subareolar region on a standard left craniocaudal mammogram shows dilated ducts. The arrow suggests ductal cutoff.'}, {'img': 'https://pubs.rsna.org/cms/10.1148/radiology.210.3.r99mr37795/asset/images/large/r99mr37g2x.jpeg', 'caption': 'Figure 2. Transverse sonograms obtained with a 7.5-MHz linear transducer in the subareolar region. The straight arrows show a dilated tubular structure. The curved arrow indicates an intraluminal solid mass. NIP refers to the location of the inverted nipple.'}, {'img': 'https://pubs.rsna.org/cms/10.1148/radiology.210.3.r99mr37795/asset/images/large/r99mr37g3x.jpeg', 'caption': 'Figure 3. Transverse sonogram obtained with a 7.5-MHz linear transducer in the subareolar region. The curved arrow indicates the intraluminal solid mass. The straight arrows indicate the dilated duct.'}, {'img': 'https://pubs.rsna.org/cms/10.1148/radiology.210.3.r99mr37795/asset/images/large/r99mr37g4x.jpeg', 'caption': 'Figure 4. Duplex Doppler images of the left subareolar region show that the intraluminal mass has arterial flow.'}]]"
9,"['https://pubs-rsna-org-ssl.access.hanyang.ac.kr:8443/doi/10.1148/radiology.209.3.755', 'https://pubs-rsna-org-ssl.access.hanyang.ac.kr:8443/doi/10.1148/radiology.211.1.r99ap4081']","['1998-12-01', '1999-04-01']",,"Contrast-enhanced abdominal CT scans obtained 14 months after stent-graft repair (,,,,Fig 1) reveal the cause of this patient's back pain. There is a pseudoaneurysm at the proximal stent-graft insertion in association with a rim-enhancing low-attenuation mass in the left psoas muscle, which extends into the right psoas and iliac muscles. In addition, the diffuse psoas abnormality is associated with destruction of the L4 vertebral body. There is no evidence of a perigraft leak.",Mycotic Pseudoaneurysm of the Abdominal Aorta in Association with Mycobacterial Psoas Abscess—A Complication of BCG Therapy1,"[[], [{'img': 'https://pubs.rsna.org/cms/10.1148/radiology.211.1.r99ap4081/asset/images/large/r99ap40g1a.jpeg', 'caption': 'Figure 1a. Contrast-enhanced abdominal CT scans. (a) Axial image obtained through the proximal stent-graft shows a focal extraluminal contrast material collection (solid arrow) extending posterolaterally beyond the anticipated confines of and in continuity with the stent-graft and a low-attenuation mass (open arrow) in the left psoas muscle. (b) Axial image obtained through the midportion of the stent-graft. No contrast material leaks into the aneurysm, but a large, complex, rim-enhancing, low-attenuation mass (arrows) is seen within the psoas muscles bilaterally. The L4 vertebra is disrupted. (c) Axial image obtained through the lower abdominal aorta reveals a low-attenuation rim-enhancing mass (arrow) in the right iliac muscle.'}, {'img': 'https://pubs.rsna.org/cms/10.1148/radiology.211.1.r99ap4081/asset/images/large/r99ap40g1b.jpeg', 'caption': 'Figure 1b. Contrast-enhanced abdominal CT scans. (a) Axial image obtained through the proximal stent-graft shows a focal extraluminal contrast material collection (solid arrow) extending posterolaterally beyond the anticipated confines of and in continuity with the stent-graft and a low-attenuation mass (open arrow) in the left psoas muscle. (b) Axial image obtained through the midportion of the stent-graft. No contrast material leaks into the aneurysm, but a large, complex, rim-enhancing, low-attenuation mass (arrows) is seen within the psoas muscles bilaterally. The L4 vertebra is disrupted. (c) Axial image obtained through the lower abdominal aorta reveals a low-attenuation rim-enhancing mass (arrow) in the right iliac muscle.'}, {'img': 'https://pubs.rsna.org/cms/10.1148/radiology.211.1.r99ap4081/asset/images/large/r99ap40g1c.jpeg', 'caption': 'Figure 1c. Contrast-enhanced abdominal CT scans. (a) Axial image obtained through the proximal stent-graft shows a focal extraluminal contrast material collection (solid arrow) extending posterolaterally beyond the anticipated confines of and in continuity with the stent-graft and a low-attenuation mass (open arrow) in the left psoas muscle. (b) Axial image obtained through the midportion of the stent-graft. No contrast material leaks into the aneurysm, but a large, complex, rim-enhancing, low-attenuation mass (arrows) is seen within the psoas muscles bilaterally. The L4 vertebra is disrupted. (c) Axial image obtained through the lower abdominal aorta reveals a low-attenuation rim-enhancing mass (arrow) in the right iliac muscle.'}, {'img': 'https://pubs.rsna.org/cms/10.1148/radiology.211.1.r99ap4081/asset/images/large/r99ap40g2a.jpeg', 'caption': 'Figure 2a. Reformatted images from the same CT study shown in ,,,,Figure 1. (a) Coronal reconstruction image through the retroperitoneum illustrates the extensive bilateral psoas and right iliac muscle involvement. Bone destruction of L4 and the L3 to L4 interspace (arrow) is also clearly demonstrated. (b) Maximum intensity projection CT angiogram shows the two Z-stents in the aortic portion of the stent-graft and a Wallstent extending into the left iliac artery. The upper part of a femoral-femoral crossover graft (arrowhead) is also visible. A saccular aneurysm at the top of the stent-graft (solid arrow) displaces the left renal artery (open arrow) superiorly.'}, {'img': 'https://pubs.rsna.org/cms/10.1148/radiology.211.1.r99ap4081/asset/images/large/r99ap40g2b.jpeg', 'caption': 'Figure 2b. Reformatted images from the same CT study shown in ,,,,Figure 1. (a) Coronal reconstruction image through the retroperitoneum illustrates the extensive bilateral psoas and right iliac muscle involvement. Bone destruction of L4 and the L3 to L4 interspace (arrow) is also clearly demonstrated. (b) Maximum intensity projection CT angiogram shows the two Z-stents in the aortic portion of the stent-graft and a Wallstent extending into the left iliac artery. The upper part of a femoral-femoral crossover graft (arrowhead) is also visible. A saccular aneurysm at the top of the stent-graft (solid arrow) displaces the left renal artery (open arrow) superiorly.'}, {'img': 'https://pubs.rsna.org/cms/10.1148/radiology.211.1.r99ap4081/asset/images/large/r99ap40g3a.jpeg', 'caption': 'Figure 3a. Abdominal aortograms. (a) Image obtained in the early arterial phase shows a focal saccular aneurysm (solid arrow) adjacent to the proximal end of the stent-graft. Note the displacement of the left renal artery (open arrow) and a proximal left renal arterial stenosis. (b) Image obtained in the late arterial phase with opacification of the middle and distal portions of the graft. The stent-graft has Z-stents proximally within the aorta and distally within the iliac artery. A Wallstent has been deployed within the graft and extends through the distal iliac limb. An endovascular occluder is visible in the right common iliac artery.'}, {'img': 'https://pubs.rsna.org/cms/10.1148/radiology.211.1.r99ap4081/asset/images/large/r99ap40g3b.jpeg', 'caption': 'Figure 3b. Abdominal aortograms. (a) Image obtained in the early arterial phase shows a focal saccular aneurysm (solid arrow) adjacent to the proximal end of the stent-graft. Note the displacement of the left renal artery (open arrow) and a proximal left renal arterial stenosis. (b) Image obtained in the late arterial phase with opacification of the middle and distal portions of the graft. The stent-graft has Z-stents proximally within the aorta and distally within the iliac artery. A Wallstent has been deployed within the graft and extends through the distal iliac limb. An endovascular occluder is visible in the right common iliac artery.'}]]"
10,"['https://pubs-rsna-org-ssl.access.hanyang.ac.kr:8443/doi/10.1148/radiology.210.1.r99ja32143', 'https://pubs-rsna-org-ssl.access.hanyang.ac.kr:8443/doi/10.1148/radiology.211.2.r99ma38472']","['1999-01-01', '1999-05-01']","The patient is a 33-year-old, right-handed woman with no noteworthy medical history. She presented with a chief complaint of three distinct episodes of focal seizures of the left side of the face and left arm that lasted for approximately 3 minutes each. Historical information includes no loss of consciousness, no history of trauma, and no dental work or foreign travel. She is a practicing Orthodox Jew, and her religion prohibits ingestion of pork. She has employed a Mexican housekeeper in her home for several years. On physical examination, the patient displayed a mild left facial paresis, otherwise the remainder of her neurologic examination was intact. She was seen in the emergency department, and imaging was performed (,,,Figs 1–,3).","Contrast material–enhanced computed tomographic (CT) (GE Medical Systems, Milwaukee, Wis) and magnetic resonance (MR) imaging (Siemens, Iselin, NJ), including an echo-planar perfusion study, were performed. Axial T1-weighted images obtained following the intravenous administration of 469.01 mg/mL gadopentetate dimeglumine (Magnevist; Berlex, Wayne, NJ) demonstrated the presence of a single, small, spherical ring-enhancing lesion at the corticomedullary junction of the right frontal lobe. The ring is regular in its margins; however, it appears to contain a focal thickening posteriorly consistent with a mural nodule. The center is hypointense to brain yet appears higher in signal intensity than cerebrospinal fluid (,,,Fig 1a). On corresponding T2-weighted images, the ring and the posterior mural nodule appear hypointense with a hyperintense center. A substantial amount of perilesional vasogenic edema is present (,,,Fig 1b).",Neurocysticercosis1,"[[{'img': 'https://pubs.rsna.org/cms/10.1148/radiology.210.1.r99ja32143/asset/images/large/r99ja32g1a.jpeg', 'caption': 'Figure 1a. (a) Contrast material-enhanced axial T1-weighted spin-echo magnetic resonance (MR) image: 600/14 (repetition time msec/echo time msec), 5-mm section thickness, 250-mm field of view, 250 x 256 matrix, acquisition time of 4 minutes 9 seconds. (b) Corresponding axial T2-weighted turbo spin-echo MR image: 3,400/119, 5-mm section thickness, 250-mm field of view, 250 x 256 matrix, acquisition time 2 minutes 58 seconds.'}, {'img': 'https://pubs.rsna.org/cms/10.1148/radiology.210.1.r99ja32143/asset/images/large/r99ja32g1b.jpeg', 'caption': 'Figure 1b. (a) Contrast material-enhanced axial T1-weighted spin-echo magnetic resonance (MR) image: 600/14 (repetition time msec/echo time msec), 5-mm section thickness, 250-mm field of view, 250 x 256 matrix, acquisition time of 4 minutes 9 seconds. (b) Corresponding axial T2-weighted turbo spin-echo MR image: 3,400/119, 5-mm section thickness, 250-mm field of view, 250 x 256 matrix, acquisition time 2 minutes 58 seconds.'}, {'img': 'https://pubs.rsna.org/cms/10.1148/radiology.210.1.r99ja32143/asset/images/large/r99ja32g2x.jpeg', 'caption': 'Figure 2. Contrast-enhanced axial computed tomographic scan.'}, {'img': 'https://pubs.rsna.org/cms/10.1148/radiology.210.1.r99ja32143/asset/images/large/r99ja32c3x.jpeg', 'caption': 'Figure 3. Color overlay on T2*-weighted echo-planar MR image: 0.8/54, 90° flip angle, 5-mm section thickness, 215-mm field of view, 128 x 128 matrix, acquisition time of 1 minute, seven sections, 60 measures.'}], [{'img': 'https://pubs.rsna.org/cms/10.1148/radiology.211.2.r99ma38472/asset/images/large/r99ma38g1a.jpeg', 'caption': 'Figure 1a. (a) Postcontrast axial T1-weighted spin-echo MR image (600/14 [repetition time msec/echo time msec], 5-mm section thickness, 250-mm field of view, 250 × 256 matrix, acquisition time of 4 minutes 9 seconds) shows a 1-cm mass with ring enhancement (long arrow), slightly thickened posteriorly (short arrow), at the corticomedullary junction in the right frontal lobe. The center of the lesion is mildly hypointense to white matter. A small amount of decreased signal intensity in adjacent white matter represents vasogenic edema (arrowhead). (b) Corresponding axial T2-weighted turbo spin-echo MR image (3,400/119, 5-mm section thickness, 250-mm field of view, 250 × 256 matrix, acquisition time of 2 minutes 58 seconds) shows a well-defined, thin, hypointense capsule (long arrow) with posterior thickening (short arrow). The center of the lesion is hyperintense. Vasogenic edema (arrowhead) is clearly depicted.'}, {'img': 'https://pubs.rsna.org/cms/10.1148/radiology.211.2.r99ma38472/asset/images/large/r99ma38g1b.jpeg', 'caption': 'Figure 1b. (a) Postcontrast axial T1-weighted spin-echo MR image (600/14 [repetition time msec/echo time msec], 5-mm section thickness, 250-mm field of view, 250 × 256 matrix, acquisition time of 4 minutes 9 seconds) shows a 1-cm mass with ring enhancement (long arrow), slightly thickened posteriorly (short arrow), at the corticomedullary junction in the right frontal lobe. The center of the lesion is mildly hypointense to white matter. A small amount of decreased signal intensity in adjacent white matter represents vasogenic edema (arrowhead). (b) Corresponding axial T2-weighted turbo spin-echo MR image (3,400/119, 5-mm section thickness, 250-mm field of view, 250 × 256 matrix, acquisition time of 2 minutes 58 seconds) shows a well-defined, thin, hypointense capsule (long arrow) with posterior thickening (short arrow). The center of the lesion is hyperintense. Vasogenic edema (arrowhead) is clearly depicted.'}, {'img': 'https://pubs.rsna.org/cms/10.1148/radiology.211.2.r99ma38472/asset/images/large/r99ma38g2x.jpeg', 'caption': 'Figure 2. Postcontrast axial CT scan also shows thin, regular ring enhancement (long arrow). A discrete mural nodule (short arrow) enhances along the posterior aspect of the capsule. Subtle edema is present (arrowhead).'}, {'img': 'https://pubs.rsna.org/cms/10.1148/radiology.211.2.r99ma38472/asset/images/large/r99ma38c3x.jpeg', 'caption': 'Figure 3. Color overlay on a T2*-weighted echo-planar MR image (0.8/54; 90° flip angle; 5-mm section thickness; 215-mm field of view; 128 × 128 matrix; acquisition time of 1 minute, seven sections, 60 measures) shows no demonstrable perfusion abnormality in the underlying region of increased T2 signal intensity and reflects the perilesional edema (arrowhead). The color overlay image has a threshold to depict normal cortical perfusion as green (arrow).'}]]"
