id,problem,answer
1,https://pubs.rsna.org/doi/10.1148/radiology.207.1.58,https://pubs.rsna.org/doi/10.1148/radiology.208.2.9680556
2,https://pubs.rsna.org/doi/10.1148/radiology.207.2.389,https://pubs.rsna.org/doi/10.1148/radiology.208.3.9722837
3,https://pubs.rsna.org/doi/10.1148/radiology.207.3.813,https://pubs.rsna.org/doi/10.1148/radiology.209.1.9769814
4,https://pubs.rsna.org/doi/10.1148/radiology.208.1.63,https://pubs.rsna.org/doi/10.1148/radiology.209.2.9807583
5,https://pubs.rsna.org/doi/10.1148/radiology.208.2.339,https://pubs.rsna.org/doi/10.1148/radiology.209.3.9844670
6,https://pubs.rsna.org/doi/10.1148/radiology.208.3.619,https://pubs.rsna.org/doi/10.1148/radiology.210.1.r99ja33145
7,https://pubs.rsna.org/doi/10.1148/radiology.209.1.67,https://pubs.rsna.org/doi/10.1148/radiology.210.2.r99fe50419
8,https://pubs.rsna.org/doi/10.1148/radiology.209.2.519,https://pubs.rsna.org/doi/10.1148/radiology.210.3.r99mr37795
9,https://pubs.rsna.org/doi/10.1148/radiology.209.3.755,https://pubs.rsna.org/doi/10.1148/radiology.211.1.r99ap4081
10,https://pubs.rsna.org/doi/10.1148/radiology.210.1.r99ja32143,https://pubs.rsna.org/doi/10.1148/radiology.211.2.r99ma38472
11,https://pubs.rsna.org/doi/10.1148/radiology.210.2.r99fe51417,https://pubs.rsna.org/doi/10.1148/radiology.211.3.r99jn43711
12,https://pubs.rsna.org/doi/10.1148/radiology.210.3.r99mr36792,https://pubs.rsna.org/doi/10.1148/radiology.212.1.r99jl26129
13,https://pubs.rsna.org/doi/10.1148/radiology.211.1.r99ap3179,https://pubs.rsna.org/doi/10.1148/radiology.212.2.r99au38359
14,https://pubs.rsna.org/doi/10.1148/radiology.211.2.r99ma45471,https://pubs.rsna.org/doi/10.1148/radiology.212.3.r99se39708
15,https://pubs.rsna.org/doi/10.1148/radiology.211.3.r99jn44709,https://pubs.rsna.org/doi/10.1148/radiology.213.1.r99oc52102
16,https://pubs.rsna.org/doi/10.1148/radiology.212.1.r99jl24126,https://pubs.rsna.org/doi/10.1148/radiology.213.2.r99nv47364
17,https://pubs.rsna.org/doi/10.1148/radiology.212.2.r99au37357,https://pubs.rsna.org/doi/10.1148/radiology.213.3.r99dc43814
18,https://pubs.rsna.org/doi/10.1148/radiology.212.3.r99se29706,https://pubs.rsna.org/doi/10.1148/radiology.214.1.r00ja38195
19,https://pubs.rsna.org/doi/10.1148/radiology.213.1.r99oc11101,https://pubs.rsna.org/doi/10.1148/radiology.214.2.r00fe39524
20,https://pubs.rsna.org/doi/10.1148/radiology.213.2.r99nv34362,https://pubs.rsna.org/doi/10.1148/radiology.214.3.r00mr53844
21,https://pubs.rsna.org/doi/10.1148/radiology.213.3.r99dc33811,https://pubs.rsna.org/doi/10.1148/radiology.215.1.r00ap52237
22,https://pubs.rsna.org/doi/10.1148/radiology.214.1.r00ja29193,https://pubs.rsna.org/doi/10.1148/radiology.215.2.r00ma32391
23,https://pubs.rsna.org/doi/10.1148/radiology.214.2.r00fe31523,https://pubs.rsna.org/doi/10.1148/radiology.215.3.r00jn41754
24,https://pubs.rsna.org/doi/10.1148/radiology.214.3.r00mr44843,https://pubs.rsna.org/doi/10.1148/radiology.216.1.r00jl35142
25,https://pubs.rsna.org/doi/10.1148/radiology.215.1.r00ap23235,https://pubs.rsna.org/doi/10.1148/radiology.216.2.r00au34379
26,https://pubs.rsna.org/doi/10.1148/radiology.215.2.r00ma31390,https://pubs.rsna.org/doi/10.1148/radiology.216.3.r00se33727
27,https://pubs.rsna.org/doi/10.1148/radiology.215.3.r00jn24752,https://pubs.rsna.org/doi/10.1148/radiology.217.1.r00oc30134
28,https://pubs.rsna.org/doi/10.1148/radiology.216.1.r00jl44140,https://pubs.rsna.org/doi/10.1148/radiology.217.2.r00nv32437
29,https://pubs.rsna.org/doi/10.1148/radiology.216.2.r00au30377,https://pubs.rsna.org/doi/10.1148/radiology.217.3.r00dc25739
30,https://pubs.rsna.org/doi/10.1148/radiology.216.3.r00se39724,https://pubs.rsna.org/doi/10.1148/radiology.218.1.r01ja4691
31,https://pubs.rsna.org/doi/10.1148/radiology.217.1.r00oc10133,https://pubs.rsna.org/doi/10.1148/radiology.218.2.r01fe49523
32,https://pubs.rsna.org/doi/10.1148/radiology.217.2.r00nv09436,https://pubs.rsna.org/doi/10.1148/radiology.218.3.r01mr25773
33,https://pubs.rsna.org/doi/10.1148/radiology.217.3.r00dc38737,https://pubs.rsna.org/doi/10.1148/radiology.219.1.r01ap3082
34,https://pubs.rsna.org/doi/10.1148/radiology.218.1.r01ja2689,https://pubs.rsna.org/doi/10.1148/radiology.219.2.r01ma17442
35,https://pubs.rsna.org/doi/10.1148/radiology.218.2.r01fe48521,https://pubs.rsna.org/doi/10.1148/radiology.219.3.r01jn10781
36,https://pubs.rsna.org/doi/10.1148/radiology.218.3.r01mr01772,https://pubs.rsna.org/doi/10.1148/radiology.220.1.r01jl12191
37,https://pubs.rsna.org/doi/10.1148/radiology.219.1.r01ap0980,https://pubs.rsna.org/doi/10.1148/radiology.220.2.r01au12471
38,https://pubs.rsna.org/doi/10.1148/radiology.219.2.r01ma14440,https://pubs.rsna.org/doi/10.1148/radiol.2203000825
39,https://pubs.rsna.org/doi/10.1148/radiology.219.3.r01jn08778,https://pubs.rsna.org/doi/10.1148/radiol.2211991748
40,https://pubs.rsna.org/doi/10.1148/radiology.220.1.r01jl08190,https://pubs.rsna.org/doi/10.1148/radiol.2212000772
41,https://pubs.rsna.org/doi/10.1148/radiology.220.2.r01au02469,https://pubs.rsna.org/doi/10.1148/radiol.2213000890
42,https://pubs.rsna.org/doi/10.1148/radiol.2203001151,https://pubs.rsna.org/doi/10.1148/radiol.2221001152
